 턴    입력토큰    출력토큰 응답시간(ms)
   1            2343             116           37955
   2            1219              88           66436
   3            1219              88           66436
   4            1336             127           36434
   5            1478             117           31350
   6            1719              87           23067
   7            1719              87           23067
   8            1821              66           18072
   9            2016              81           24214
  10            2122              99           27006
